Time,CURRENT,mA
6905,CURRENT,752,0
6908,CURRENT,713,0
6910,CURRENT,605,0
6914,CURRENT,686,0
6917,CURRENT,593,0
6919,CURRENT,724,0
6922,CURRENT,686,0
6925,CURRENT,637,0
6927,CURRENT,507,0
6930,CURRENT,739,0
6933,CURRENT,733,0
6935,CURRENT,592,0
6938,CURRENT,571,0
6941,CURRENT,583,0
6943,CURRENT,610,0
6946,CURRENT,751,0
6949,CURRENT,710,0
6951,CURRENT,575,0
6955,CURRENT,443,0
6958,CURRENT,664,0
6960,CURRENT,703,0
6963,CURRENT,587,0
6966,CURRENT,657,0
6968,CURRENT,617,0
6971,CURRENT,578,0
6974,CURRENT,737,0
6976,CURRENT,674,0
6979,CURRENT,555,0
6981,CURRENT,615,0
6984,CURRENT,632,0
6987,CURRENT,752,0
6989,CURRENT,689,0
6992,CURRENT,640,0
6995,CURRENT,485,0
6998,CURRENT,742,0
7001,CURRENT,685,0
7004,CURRENT,720,0
7006,CURRENT,701,0
7009,CURRENT,614,0
7012,CURRENT,539,0
7014,CURRENT,762,0
7017,CURRENT,703,0
7020,CURRENT,605,0
7022,CURRENT,735,0
7025,CURRENT,584,0
7028,CURRENT,655,0
7030,CURRENT,674,0
7033,CURRENT,660,0
7036,CURRENT,590,0
7038,CURRENT,556,0
7042,CURRENT,731,0
7045,CURRENT,665,0
7047,CURRENT,601,0
7050,CURRENT,766,0
7053,CURRENT,713,0
7055,CURRENT,592,0
7058,CURRENT,728,0
7061,CURRENT,611,0
7063,CURRENT,723,0
7066,CURRENT,618,0
7068,CURRENT,672,0
7071,CURRENT,615,0
7074,CURRENT,642,0
7076,CURRENT,529,0
7079,CURRENT,601,0
7083,CURRENT,736,0
7085,CURRENT,653,0
7088,CURRENT,590,0
7091,CURRENT,818,0
7093,CURRENT,606,0
7096,CURRENT,611,0
7099,CURRENT,759,0
7101,CURRENT,587,0
7104,CURRENT,647,0
7107,CURRENT,633,0
7109,CURRENT,687,0
7112,CURRENT,654,0
7115,CURRENT,649,0
7117,CURRENT,669,0
7120,CURRENT,561,0
7123,CURRENT,644,0
7126,CURRENT,597,0
7129,CURRENT,604,0
7132,CURRENT,634,0
7134,CURRENT,641,0
7137,CURRENT,712,0
7140,CURRENT,636,0
7142,CURRENT,578,0
7145,CURRENT,527,0
7148,CURRENT,597,0
7150,CURRENT,720,0
7153,CURRENT,663,0
7155,CURRENT,683,0
7158,CURRENT,789,0
7161,CURRENT,596,0
7163,CURRENT,525,0
7166,CURRENT,746,0
7170,CURRENT,652,0
7172,CURRENT,703,0
7175,CURRENT,696,0
7178,CURRENT,729,0
7180,CURRENT,781,0
7183,CURRENT,503,0
7186,CURRENT,548,0
7188,CURRENT,664,0
7191,CURRENT,638,0
7194,CURRENT,771,0
7196,CURRENT,742,0
7199,CURRENT,569,0
7202,CURRENT,592,0
7204,CURRENT,672,0
7207,CURRENT,674,0
7211,CURRENT,692,0
7213,CURRENT,694,0
7216,CURRENT,506,0
7219,CURRENT,637,0
7221,CURRENT,789,0
7224,CURRENT,619,0
7227,CURRENT,687,0
7229,CURRENT,434,0
7232,CURRENT,548,0
7235,CURRENT,730,0
7237,CURRENT,701,0
7240,CURRENT,596,0
7242,CURRENT,726,0
7245,CURRENT,617,0
7248,CURRENT,567,0
7250,CURRENT,700,0
7254,CURRENT,687,0
7257,CURRENT,477,0
7259,CURRENT,657,0
7262,CURRENT,684,0
7265,CURRENT,676,0
7267,CURRENT,699,0
7270,CURRENT,760,0
7273,CURRENT,541,0
7275,CURRENT,621,0
7278,CURRENT,706,0
7281,CURRENT,678,0
7283,CURRENT,740,0
7286,CURRENT,597,0
7289,CURRENT,559,0
7291,CURRENT,635,0
7294,CURRENT,691,0
7298,CURRENT,717,0
7300,CURRENT,761,0
7303,CURRENT,645,0
7306,CURRENT,614,0
7308,CURRENT,769,0
7311,CURRENT,710,0
7314,CURRENT,693,0
7316,CURRENT,646,0
7319,CURRENT,624,0
7322,CURRENT,674,0
7324,CURRENT,687,0
7327,CURRENT,500,0
7329,CURRENT,648,0
7332,CURRENT,770,0
7335,CURRENT,723,0
7337,CURRENT,725,0
7341,CURRENT,672,0
7344,CURRENT,610,0
7346,CURRENT,712,0
7349,CURRENT,771,0
7352,CURRENT,628,0
7354,CURRENT,676,0
7357,CURRENT,663,0
7360,CURRENT,694,0
7362,CURRENT,834,0
7365,CURRENT,753,0
7368,CURRENT,651,0
7370,CURRENT,697,0
7373,CURRENT,591,0
7376,CURRENT,796,0
7378,CURRENT,691,0
7382,CURRENT,612,0
7385,CURRENT,765,0
7387,CURRENT,715,0
7390,CURRENT,669,0
7393,CURRENT,622,0
7395,CURRENT,584,0
7398,CURRENT,755,0
7401,CURRENT,593,0
7403,CURRENT,650,0
7406,CURRENT,803,0
7409,CURRENT,550,0
7411,CURRENT,628,0
7414,CURRENT,699,0
7416,CURRENT,587,0
7419,CURRENT,753,0
7422,CURRENT,722,0
7425,CURRENT,646,0
7428,CURRENT,771,0
7431,CURRENT,563,0
7433,CURRENT,635,0
7436,CURRENT,723,0
7439,CURRENT,554,0
7441,CURRENT,779,0
7444,CURRENT,629,0
7447,CURRENT,559,0
7449,CURRENT,750,0
7452,CURRENT,686,0
7455,CURRENT,707,0
7457,CURRENT,778,0
7460,CURRENT,608,0
7463,CURRENT,796,0
7465,CURRENT,575,0
7469,CURRENT,565,0
7472,CURRENT,654,0
7474,CURRENT,638,0
7477,CURRENT,777,0
7480,CURRENT,739,0
7482,CURRENT,658,0
7485,CURRENT,790,0
7488,CURRENT,583,0
7490,CURRENT,633,0
7493,CURRENT,706,0
7496,CURRENT,561,0
7498,CURRENT,797,0
7501,CURRENT,654,0
7503,CURRENT,569,0
7506,CURRENT,857,0
7510,CURRENT,483,0
7512,CURRENT,600,0
7515,CURRENT,745,0
7518,CURRENT,603,0
7520,CURRENT,789,0
7523,CURRENT,732,0
7526,CURRENT,677,0
7528,CURRENT,732,0
7531,CURRENT,718,0
7534,CURRENT,699,0
7536,CURRENT,657,0
7539,CURRENT,637,0
7542,CURRENT,660,0
7544,CURRENT,719,0
7547,CURRENT,673,0
7550,CURRENT,804,0
7553,CURRENT,730,0
7556,CURRENT,666,0
7559,CURRENT,801,0
7561,CURRENT,770,0
7564,CURRENT,670,0
7567,CURRENT,829,0
7569,CURRENT,717,0
7572,CURRENT,713,0
7575,CURRENT,765,0
7577,CURRENT,747,0
7580,CURRENT,681,0
7583,CURRENT,864,0
7585,CURRENT,771,0
7588,CURRENT,742,0
7590,CURRENT,759,0
7593,CURRENT,779,0
7597,CURRENT,813,0
7599,CURRENT,760,0
7602,CURRENT,742,0
7605,CURRENT,678,0
7607,CURRENT,696,0
7610,CURRENT,689,0
7613,CURRENT,684,0
7615,CURRENT,789,0
7618,CURRENT,640,0
7621,CURRENT,682,0
7623,CURRENT,594,0
7626,CURRENT,740,0
7629,CURRENT,719,0
7631,CURRENT,775,0
7634,CURRENT,579,0
7638,CURRENT,632,0
7640,CURRENT,575,0
7643,CURRENT,750,0
7646,CURRENT,714,0
7648,CURRENT,808,0
7651,CURRENT,534,0
7654,CURRENT,689,0
7656,CURRENT,711,0
7659,CURRENT,772,0
7662,CURRENT,763,0
7664,CURRENT,778,0
7667,CURRENT,559,0
7670,CURRENT,644,0
7672,CURRENT,549,0
7675,CURRENT,782,0
7677,CURRENT,718,0
7681,CURRENT,772,0
7684,CURRENT,559,0
7686,CURRENT,845,0
7689,CURRENT,547,0
7692,CURRENT,791,0
7694,CURRENT,736,0
7697,CURRENT,797,0
7700,CURRENT,576,0
7702,CURRENT,797,0
7705,CURRENT,557,0
7708,CURRENT,745,0
7710,CURRENT,743,0
7713,CURRENT,782,0
7716,CURRENT,569,0
7718,CURRENT,792,0
7721,CURRENT,577,0
7725,CURRENT,740,0
7727,CURRENT,737,0
7730,CURRENT,786,0
7733,CURRENT,607,0
7735,CURRENT,799,0
7738,CURRENT,614,0
7741,CURRENT,748,0
7743,CURRENT,762,0
7746,CURRENT,793,0
7749,CURRENT,604,0
7751,CURRENT,813,0
7754,CURRENT,604,0
7757,CURRENT,755,0
7759,CURRENT,742,0
7762,CURRENT,786,0
7764,CURRENT,732,0
7768,CURRENT,779,0
7771,CURRENT,807,0
7773,CURRENT,730,0
7776,CURRENT,827,0
7779,CURRENT,737,0
7781,CURRENT,729,0
7784,CURRENT,745,0
7787,CURRENT,766,0
7789,CURRENT,699,0
7792,CURRENT,823,0
7795,CURRENT,742,0
7797,CURRENT,677,0
7800,CURRENT,780,0
7803,CURRENT,753,0
7805,CURRENT,733,0
7809,CURRENT,833,0
7812,CURRENT,790,0
7814,CURRENT,711,0
7817,CURRENT,821,0
7820,CURRENT,739,0
7822,CURRENT,721,0
7825,CURRENT,829,0
7828,CURRENT,840,0
7830,CURRENT,744,0
7833,CURRENT,885,0
7836,CURRENT,728,0
7838,CURRENT,661,0
7841,CURRENT,855,0
7844,CURRENT,819,0
7846,CURRENT,699,0
7849,CURRENT,869,0
7852,CURRENT,849,0
7855,CURRENT,733,0
7858,CURRENT,884,0
7860,CURRENT,860,0
7863,CURRENT,625,0
7866,CURRENT,866,0
7868,CURRENT,804,0
7871,CURRENT,686,0
7874,CURRENT,829,0
7876,CURRENT,805,0
7879,CURRENT,855,0
7882,CURRENT,738,0
7884,CURRENT,846,0
7887,CURRENT,725,0
7890,CURRENT,773,0
7892,CURRENT,773,0
7896,CURRENT,878,0
7899,CURRENT,817,0
7901,CURRENT,807,0
7904,CURRENT,840,0
