Time,CURRENT,mA
7206,CURRENT,9,0
7208,CURRENT,9,0
7212,CURRENT,9,0
7214,CURRENT,9,0
7217,CURRENT,8,0
7219,CURRENT,9,0
7222,CURRENT,9,0
7224,CURRENT,9,0
7227,CURRENT,9,0
7229,CURRENT,9,0
7232,CURRENT,9,0
7234,CURRENT,9,0
7237,CURRENT,9,0
7239,CURRENT,9,0
7242,CURRENT,9,0
7244,CURRENT,9,0
17819,CURRENT,159,1
17821,CURRENT,23,1
17823,CURRENT,156,1
17824,CURRENT,23,1
17826,CURRENT,7,1
17828,CURRENT,5,1
17830,CURRENT,4,1
17833,CURRENT,4,1
17836,CURRENT,5,1
17839,CURRENT,4,1
17841,CURRENT,4,1
17844,CURRENT,4,1
17846,CURRENT,5,1
17849,CURRENT,4,1
17851,CURRENT,3,1
17854,CURRENT,4,1
17856,CURRENT,4,1
17859,CURRENT,4,1
17861,CURRENT,4,1
17864,CURRENT,4,1
17866,CURRENT,5,1
17869,CURRENT,4,1
17871,CURRENT,4,1
17874,CURRENT,4,1
17876,CURRENT,4,1
17880,CURRENT,4,1
17882,CURRENT,4,1
17885,CURRENT,4,1
17887,CURRENT,4,1
17890,CURRENT,3,1
17892,CURRENT,4,1
17895,CURRENT,5,1
17897,CURRENT,4,1
17900,CURRENT,4,1
17902,CURRENT,5,1
17905,CURRENT,5,1
17907,CURRENT,5,1
17910,CURRENT,4,1
17912,CURRENT,5,1
17915,CURRENT,6,1
17917,CURRENT,4,1
17921,CURRENT,4,1
17923,CURRENT,5,1
17926,CURRENT,5,1
17928,CURRENT,4,1
17930,CURRENT,5,1
17933,CURRENT,5,1
17935,CURRENT,5,1
17938,CURRENT,4,1
17940,CURRENT,4,1
17943,CURRENT,5,1
17945,CURRENT,5,1
17948,CURRENT,4,1
17950,CURRENT,10,1
17953,CURRENT,9,1
17955,CURRENT,9,1
17958,CURRENT,9,1
17960,CURRENT,9,1
17964,CURRENT,9,1
17966,CURRENT,9,1
17969,CURRENT,9,1
17971,CURRENT,9,1
17974,CURRENT,9,1
17976,CURRENT,9,1
17979,CURRENT,9,1
17981,CURRENT,9,1
17984,CURRENT,9,1
17986,CURRENT,9,1
17989,CURRENT,9,1
17991,CURRENT,9,1
17994,CURRENT,9,1
17996,CURRENT,9,1
17999,CURRENT,9,1
18001,CURRENT,9,1
18004,CURRENT,9,1
18007,CURRENT,9,1
18010,CURRENT,847,1
18012,CURRENT,636,1
18015,CURRENT,834,1
18018,CURRENT,904,1
18020,CURRENT,838,1
18023,CURRENT,900,1
18026,CURRENT,836,1
18028,CURRENT,695,1
18031,CURRENT,570,1
18034,CURRENT,815,1
18036,CURRENT,839,1
18039,CURRENT,742,1
18042,CURRENT,706,1
18044,CURRENT,687,1
18048,CURRENT,638,1
18051,CURRENT,356,1
18053,CURRENT,445,1
18056,CURRENT,680,1
18059,CURRENT,367,1
18061,CURRENT,475,1
18064,CURRENT,385,1
18067,CURRENT,439,1
18069,CURRENT,583,1
18072,CURRENT,378,1
18075,CURRENT,412,1
18077,CURRENT,262,1
18080,CURRENT,359,1
18082,CURRENT,293,1
18085,CURRENT,262,1
18088,CURRENT,263,1
18091,CURRENT,346,1
18094,CURRENT,64,1
18097,CURRENT,88,1
18099,CURRENT,505,1
18102,CURRENT,81,1
18104,CURRENT,142,1
18107,CURRENT,122,1
18110,CURRENT,164,1
18112,CURRENT,75,1
18115,CURRENT,57,1
18118,CURRENT,50,1
18120,CURRENT,48,1
18123,CURRENT,50,1
18125,CURRENT,52,1
18128,CURRENT,48,1
18130,CURRENT,44,1
18134,CURRENT,42,1
18137,CURRENT,45,1
18139,CURRENT,43,1
18142,CURRENT,36,1
18144,CURRENT,145,1
18147,CURRENT,120,1
18150,CURRENT,35,1
18152,CURRENT,37,1
18155,CURRENT,41,1
18157,CURRENT,40,1
18160,CURRENT,36,1
18163,CURRENT,36,1
18165,CURRENT,37,1
18168,CURRENT,127,1
18170,CURRENT,83,1
18173,CURRENT,129,1
18177,CURRENT,124,1
18179,CURRENT,37,1
18182,CURRENT,36,1
18184,CURRENT,78,1
18187,CURRENT,74,1
18189,CURRENT,36,1
18192,CURRENT,37,1
18195,CURRENT,53,1
18197,CURRENT,63,1
18200,CURRENT,40,1
18202,CURRENT,38,1
18205,CURRENT,40,1
18208,CURRENT,42,1
18210,CURRENT,45,1
18213,CURRENT,51,1
18215,CURRENT,53,1
18219,CURRENT,51,1
18221,CURRENT,51,1
18224,CURRENT,54,1
18227,CURRENT,53,1
18229,CURRENT,52,1
18232,CURRENT,52,1
18234,CURRENT,53,1
18237,CURRENT,52,1
18239,CURRENT,51,1
18242,CURRENT,51,1
18245,CURRENT,52,1
18247,CURRENT,50,1
18250,CURRENT,49,1
